rbd|codEdu|nombre|matemática1|matemática2|lectura|ciencias|historia|nem|ranking|promedio|dep|nse|posPromedio|posMatemática1|posMatemática2|posLectura|posCiencias|posHistoria|posNem|posRanking|región|comuna
2701|610|LICEO MUNICIPAL INSTITUTO CARDENAL JOSÉ MARÍA CARO|525.1|419|493.9|495|407.3|608.2|636|561.0104166666666|Público|Medio Bajo|2638|2805|721|3490|767|3529|3676|3593|LI|Marchihue
270|310|COMPLEJO EDUCACIONAL TOCONAO|563.6|337.5|526.2|439.2|449|670.7|709.7|567.9958762886598|Público|Medio Bajo|2400|1723|3634|2743|2191|2296|2618|2286|AN|San Pedro De Atacama
2731|363|ESCUELA CAPELLAN JOSE LUIS LOPEZ CARRASCO|425.5|236|393.6|406|382.9|623.3|651.8|476.5365384615385|Público|Medio Bajo|4179|4218|4102|4204|3627|4004|3470|3366|ML|Curicó
2732|310|LICEO FERNANDO LAZCANO|515.7|367.2|524.8|431|463.2|659.7|668.8|556.0204225352112|Público|Medio Bajo|2806|3115|2194|2772|2518|1879|2844|3102|ML|Curicó
2733|310|COLEGIO DEPORTIVO LUIS CRUZ MARTÍNEZ|565.9|362.2|560|441.7|446.2|661.5|688.9|560.9784679089026|Público|Medio Bajo|2642|1668|2463|1949|2114|2397|2815|2732|ML|Curicó
2751|363|CENTRO INTEGRADO DE EDUCACIÓN DE ADULTOS DE CURICÓ|463.9|359.7|479.8|428.7|395.4|705.1|717.5|615.5698924731183|Público|Medio Bajo|1058|4084|2619|3722|2628|3835|1875|2115|ML|Curicó
2782|310|COLEGIO SAN RAIMUNDO NONATO|651.1|467.1|640.6|507.4|553.8|812.1|824.5|671.8651583710407|P. C/Subv|Medio|385|534|362|569|630|475|343|400|ML|Curicó
2785|310|CENTRO EDUCACIONAL MONSEÑOR MANUEL LARRAÍN ERRAZURIZ|623.4|414.8|626.1|476.6|535.2|760.6|773.2|621.5027522935782|P. C/Subv|Medio Alto|945|736|773|733|1071|622|905|1049|ML|Curicó
2786|310|INSTITUTO SAN MARTÍN|770.8|534.1|735|616.3|625.4|879.9|883|750.8777981651375|P. S/Subv|Alto|107|169|167|116|167|196|36|65|ML|Curicó
2787|310|COLEGIO SANTO TOMÁS DE CURICÓ|645.7|416.7|627.5|487.6|540|750.1|760.8|635.2326241134753|P. C/Subv|Medio Alto|724|570|749|712|881|585|1044|1276|ML|Curicó
2789|310|ALIANZA FRANCESA JEAN MERMOZ|806.5|544|732.3|697.3|683.1|804.7|810.3|744.0540983606556|P. S/Subv|Alto|127|104|151|124|37|75|405|536|ML|Curicó
2790|310|COLEGIO VICHUQUÉN|816.7|649.2|712.5|632.9|678.6|762.5|786.3|738.1135802469136|P. S/Subv|Alto|138|93|27|192|128|87|878|851|ML|Curicó
2793|410|INSTITUTO POLITÉCNICO BICENTENARIO JUAN TERRIER DAILLY|583.7|392.4|569.5|433.1|493.8|668.8|694.4|579.138596491228|Público|Bajo|2014|1304|1251|1742|2418|1157|2654|2613|ML|Curicó
2793|510|INSTITUTO POLITÉCNICO BICENTENARIO JUAN TERRIER DAILLY|540|350.1|522.9|428.6|417.2|601.1|616.3|530.5201704545453|Público|Bajo|3597|2339|3128|2823|2634|3265|3757|3807|ML|Curicó
2793|610|INSTITUTO POLITÉCNICO BICENTENARIO JUAN TERRIER DAILLY|483.2|381|489.8|390.5|417.8|564.2|573.2|510.93000000000006|Público|Bajo|3960|3877|1602|3561|4020|3247|4040|4091|ML|Curicó
2794|310|LICEO TENO|502.8|402|626.9|452.5|540.5|667.5|742.8|597.8754385964911|Público|Bajo|1468|3462|997|723|1746|581|2684|1621|ML|Teno
2794|410|LICEO TENO|501.2|352.3|482.9|399.1|451.4|573.7|584.8|506.6602564102564|Público|Bajo|4010|3502|3040|3678|3844|2214|3975|4028|ML|Teno
2794|610|LICEO TENO|481.4|0|561.8|387.2|0|595.8|606.6|555.6878048780488|Público|Bajo|2811|3906|4106|1912|4067|4214|3820|3902|ML|Teno
2794|710|LICEO TENO|480.5|0|457.4|392.7|397|588.9|604.8|516.558|Público|Bajo|3881|3919|4106|3980|3993|3793|3877|3912|ML|Teno
279|510|LICEO INDUSTRIAL EULOGIO GORDO MONEO|532|354.5|524|435.4|425.9|664.2|675.7|551.596256684492|Público|Medio Bajo|2960|2591|2907|2795|2313|3002|2751|2984|AN|Antofagasta
279|563|LICEO INDUSTRIAL EULOGIO GORDO MONEO|497.2|344.3|477.2|331|381|632.4|674.8|537.9918918918919|Público|Medio Bajo|3402|3594|3408|3767|4198|4017|3314|3003|AN|Antofagasta
280|410|LICEO COMERCIAL GERARDO MUÑOZ CAMPOS|519.9|338.1|536.8|414.5|444.4|706.3|717.2|571.0265282583622|Público|Medio Bajo|2294|2979|3614|2491|3268|2445|1857|2120|AN|Antofagasta
2835|310|LICEO POLITÉCNICO LUIS ALFREDO MOLINA|559.6|381.5|554.7|429.5|431.6|582.3|598.1|533.551|Público|Bajo|3515|1817|1584|2061|2589|2835|3921|3956|ML|Molina
2835|363|LICEO POLITÉCNICO LUIS ALFREDO MOLINA|471.3|379.7|473.9|394.9|382.5|632.6|675.5|527.2238095238095|Público|Bajo|3679|4028|1657|3814|3959|4007|3309|2988|ML|Molina
2835|410|LICEO POLITÉCNICO LUIS ALFREDO MOLINA|482.5|370.5|513.3|399|395.7|632.6|641.6|542.219512195122|Público|Bajo|3270|3890|2039|3037|3847|3825|3309|3506|ML|Molina
2835|510|LICEO POLITÉCNICO LUIS ALFREDO MOLINA|540.8|354.9|580.3|450.4|479|777.5|793.6|601.9957142857143|Público|Bajo|1361|2315|2887|1514|1812|1477|665|743|ML|Molina
2835|610|LICEO POLITÉCNICO LUIS ALFREDO MOLINA|516.3|330|497.1|396.3|430.3|667.9|681.4|571.1752136752136|Público|Bajo|2287|3092|3796|3423|3929|2873|2676|2890|ML|Molina
2836|310|LICEO JUAN AGUSTÍN MORALES GONZÁLEZ|525.4|363|556.1|429.3|405.8|706.8|727.4|553.5075757575758|Público|Bajo|2886|2792|2422|2038|2598|3571|1845|1896|ML|Molina
2836|510|LICEO JUAN AGUSTÍN MORALES GONZÁLEZ|537.4|354.5|528.4|434.3|470|727.7|766.3|572.4674698795181|Público|Bajo|2229|2414|2907|2697|2367|1679|1420|1183|ML|Molina
283|610|LICEO TÉCNICO ANTOFAGASTA|514.3|357.7|507|416.3|415.7|728.7|737.9|573.6289940828402|Público|Medio Bajo|2170|3144|2729|3189|3196|3305|1401|1708|AN|Antofagasta
284|310|LICEO DE HOMBRES DE ANTOFAGASTA MARIO BAHAMONDE SILVA|518.5|358|511.4|422.8|426.5|694.4|708|558.9635838150289|Público|Medio Bajo|2716|3028|2720|3093|2892|2983|2121|2322|AN|Antofagasta
285|310|LICEO BICENTENARIO MARTA NAREA DÍAZ|510.9|354.6|517.4|431.1|413.3|705.9|716.3|559.0725173210161|Público|Medio Bajo|2712|3232|2902|2932|2515|3369|1861|2137|AN|Antofagasta
2863|310|COLEGIO ADVENTISTA DE MOLINA|568.8|373.4|574.9|454.3|505|778|794.1|611.7795744680851|P. C/Subv|Medio|1139|1604|1910|1621|1691|947|655|736|ML|Molina
2865|710|ESCUELA AGRÍCOLA SUPERIOR DE MOLINA|548.9|365.2|554.9|443.1|440.7|610.6|639.6|546.1658333333332|Público|Bajo|3148|2091|2306|2056|2066|2570|3645|3538|ML|Molina
286|310|LICEO LA PORTADA|543.7|317.4|572|462.9|454.2|662|707|577.8195652173912|Público|Medio Bajo|2053|2238|3963|1680|1414|2127|2797|2342|AN|Antofagasta
286|510|LICEO LA PORTADA|502.7|377|572.1|417.4|432|750.3|788.3|602.4413793103447|Público|Medio Bajo|1352|3463|1778|1675|3152|2823|1040|822|AN|Antofagasta
286|610|LICEO LA PORTADA|491.7|216|489.3|401.1|408.8|661.9|679.4|541.3249999999999|Público|Medio Bajo|3302|3714|4105|3575|3786|3488|2799|2924|AN|Antofagasta
287|310|LICEO DOMINGO HERRERA RIVERA|534.9|373.5|558.5|450.6|462.1|686.6|693.9|566.0573033707866|Público|Medio|2455|2499|1904|1973|1803|1913|2266|2625|AN|Antofagasta
2882|310|LICEO BICENTENARIO HUALAÑÉ|613.8|418.8|607.6|477|496.3|802.3|805.8|644.0836206896552|Público|Medio Bajo|615|855|727|1007|1066|1109|416|584|ML|Hualañé
2896|310|LICEO BICENTENARIO AUGUSTO SANTELICES VALENZUELA|606.6|387.2|574.2|477.3|450.7|665.4|672.1|565.5238670694865|Público|Medio Bajo|2470|951|1397|1636|1060|2236|2724|3051|ML|Licantén
2908|710|LICEO TÉCNICO PROFESIONAL ALEJANDRO ROJAS SIERRA|510.6|381.3|553.8|412.3|350.2|594.1|618.4|516.9928571428571|Público|Bajo|3873|3247|1590|2092|3365|4185|3830|3783|ML|Licantén
2909|310|LICEO NUEVO HORIZONTE|574|348.6|578.1|450.7|469.7|687.7|723.1|558.1404494382023|Público|Medio Bajo|2746|1480|3186|1558|1801|1688|2246|1991|ML|Vichuquen
2910|310|ESCUELA ENTRE AGUAS DE LICÁN|524.8|332.3|509.3|434.8|378|680.5|690.4|550.0760563380281|Público|Medio Bajo|3029|2809|3761|3140|2339|4055|2412|2703|ML|Vichuquen
2930|310|LICEO DE CULTURA Y DIFUSIÓN ARTÍSTICA|527.9|348.1|544.2|451.3|448.7|744.1|758.4|582.2327433628319|Público|Medio|1931|2712|3210|2300|1786|2306|1153|1320|ML|Talca
2934|410|LICEO TÉCNICO AMELIA COURBIS|506.9|339|524.2|412.8|428.2|612.1|621.5|526.5238095238095|Público|Bajo|3693|3354|3581|2785|3343|2920|3625|3749|ML|Talca
2934|610|LICEO TÉCNICO AMELIA COURBIS|509.8|342.1|493.3|418.3|396.4|700.5|715.1|549.6332470892626|Público|Bajo|3041|3270|3483|3508|3104|3806|1979|2163|ML|Talca
2935|310|LICEO MARTA DONOSO ESPEJO|546.4|365.3|544.8|440.6|433.1|645|653.2|545.298048048048|Público|Medio Bajo|3173|2145|2299|2285|2147|2778|3103|3349|ML|Talca
2937|510|LICEO INDUSTRIAL SUPERIOR|521.9|346.2|500.3|425.7|412.7|672.3|711.3|551.0950226244344|Público|Bajo|2990|2915|3325|3343|2754|3381|2588|2248|ML|Talca
2938|410|INSTITUTO SUPERIOR DE COMERCIO ENRIQUE MALDONADO S.|543.4|355.3|537.4|419.4|443|673.4|687.7|552.1044444444444|Público|Medio Bajo|2943|2249|2869|2469|3045|2492|2561|2758|ML|Talca
2939|310|LICEO BICENTENARIO DIEGO PORTALES|589.3|419.3|598.6|466.9|481.6|700|721.3|599.0375|Público|Medio Bajo|1438|1207|714|1171|1307|1422|1992|2026|ML|Talca
2939|510|LICEO BICENTENARIO DIEGO PORTALES|502.6|381|541.7|469.3|440.9|597.5|614.2|541.8956896551724|Público|Medio Bajo|3282|3465|1602|2363|1244|2560|3796|3827|ML|Talca
2939|610|LICEO BICENTENARIO DIEGO PORTALES|482|330|476.3|344|430.4|651.8|684.8|522.946|Público|Medio Bajo|3757|3895|3796|3781|4193|2870|2986|2823|ML|Talca
2940|510|LICEO CARLOS CONDELL|531.9|339|509.6|405.6|412|601|645.6|530.2017857142857|Público|Bajo|3606|2595|3581|3136|3649|3398|3759|3452|ML|Talca
2940|610|LICEO CARLOS CONDELL|526.6|303.7|581.4|437|435.6|644.9|696.2|570.9258620689656|Público|Bajo|2300|2758|4033|1489|2248|2704|3104|2574|ML|Talca
2943|310|LICEO HÉCTOR PÉREZ BIOTT|535.2|367.9|529.8|467|402|731.2|760.6|590.3852941176472|Público|Bajo|1693|2487|2160|2661|1304|3680|1366|1278|ML|Talca
2961|363|LICEO TÉCNICO PROFESIONAL AULAS DE ESPERANZA DE TALCA|440.6|343.9|436|415.2|392.8|704.4|795.2|533.2646153846154|Público|Medio Bajo|3524|4198|3423|4113|3242|3885|1890|720|ML|Talca
2961|563|LICEO TÉCNICO PROFESIONAL AULAS DE ESPERANZA DE TALCA|441.8|357.5|386.6|362.9|363.3|522.7|571.3|447.42435897435894|Público|Medio Bajo|4218|4193|2738|4209|4181|4150|4181|4099|ML|Talca
2973|310|LICEO ABATE MOLINA|645.2|409.2|648.1|505.5|532.3|845.1|851.7|665.9715759075908|Público|Medio|433|575|858|506|644|646|161|204|ML|Talca
2979|610|ESCUELA EL SAUCE|497|344.6|477.8|396.9|400.5|590.2|617.9|507.2598214285714|Público|Bajo|4006|3599|3402|3759|3913|3726|3864|3792|ML|Talca
2991|310|COLEGIO MONSEÑOR MANUEL LARRAÍN|623|400.9|608.8|473.2|519.2|785.4|802.4|628.9861244019139|P. C/Subv|Medio|814|740|1017|989|1152|768|574|625|ML|Talca
2992|310|COLEGIO INTEGRADO SAN PÍO X SECTOR PTE.|632.7|397.9|615.8|498.9|500.2|773.3|778.8|630.5982113821138|P. C/Subv|Medio Alto|794|663|1088|873|716|1036|734|960|ML|Talca
2995|310|INSTITUTO ANDRÉS BELLO|608.2|404.4|604|470.1|495.4|739.2|744.9|613.5478832116787|P. C/Subv|Medio|1099|930|945|1078|1230|1126|1242|1571|ML|Talca
2997|310|COLEGIO DARÍO SALAS|551.9|365|554.4|448.2|467.9|699.9|736.7|587.1895238095237|P. C/Subv|Medio Bajo|1785|2006|2313|2074|1884|1741|1996|1723|ML|Talca
2997|363|COLEGIO DARÍO SALAS|538.5|428.5|516.8|452.6|364.7|717.2|730.3|644.6823529411764|P. C/Subv|Medio Bajo|608|2376|618|2951|1742|4144|1620|1832|ML|Talca
30001|310|THE INTERNATIONAL SCHOOL ARICA|537.8|377.2|528.2|421.5|436.7|796.4|811.2|596.2556650246305|P. C/Subv|Medio|1509|2405|1770|2699|2948|2679|465|523|AP|Arica
30003|310|COLEGIO JUAN PABLO II|536.7|379.4|527.9|436.1|460|630.8|645.7|548.4351123595505|P. C/Subv|Medio|3072|2442|1669|2704|2282|1964|3336|3450|AP|Arica
30013|310|THE AZAPA VALLEY SCHOOL|726.8|529.8|661.7|598.9|606.4|863.2|871|732.0693396226416|P. S/Subv|Alto|160|257|179|412|197|251|80|113|AP|Arica
3003|310|COLEGIO PIAGET|566.8|387|560.1|461.3|408.8|580.7|606.8|548.2584615384616|P. C/Subv|Bajo|3077|1647|1399|1944|1457|3488|3935|3901|ML|Talca
3003|363|COLEGIO PIAGET|469.8|330|441.2|406.5|405.5|698.6|712.2|603.3687898089172|P. C/Subv|Bajo|1325|4041|3796|4094|3612|3582|2030|2226|ML|Talca
3005|310|LICEO SANTA TERESITA|601.2|387.6|590.5|477.6|483.9|745.6|756.4|608.9103594080339|P. C/Subv|Medio|1198|1029|1381|1298|1055|1382|1123|1358|ML|Talca
3006|310|CENTRO EDUCATIVO SALESIANOS TALCA|609.5|387.3|588.1|469|488.8|703.4|720.3|593.6662895927602|P. C/Subv|Medio Bajo|1600|908|1389|1341|1256|1266|1913|2053|ML|Talca
